Datetime,Open,High,Low,Close,Adj Close,Volume
2023-12-26 00:00:00-05:00,4811.25,4811.25,4811.25,4811.25,4811.25,499
2023-12-26 00:05:00-05:00,4811.25,4811.75,4811.25,4811.5,4811.5,253
2023-12-26 00:10:00-05:00,4811.5,4811.5,4811.0,4811.25,4811.25,153
2023-12-26 00:15:00-05:00,4811.25,4811.5,4811.0,4811.0,4811.0,87
2023-12-26 00:20:00-05:00,4811.0,4812.5,4811.0,4812.0,4812.0,369
2023-12-26 00:25:00-05:00,4812.0,4812.75,4811.75,4812.5,4812.5,279
2023-12-26 00:30:00-05:00,4812.5,4813.0,4812.25,4812.75,4812.75,321
2023-12-26 00:35:00-05:00,4812.5,4812.75,4811.25,4812.0,4812.0,573
2023-12-26 00:40:00-05:00,4811.75,4813.0,4811.75,4812.75,4812.75,407
2023-12-26 00:45:00-05:00,4812.5,4813.0,4812.5,4813.0,4813.0,175
2023-12-26 00:50:00-05:00,4812.75,4812.75,4811.5,4811.75,4811.75,295
2023-12-26 00:55:00-05:00,4811.75,4812.0,4811.5,4811.5,4811.5,307
2023-12-26 01:00:00-05:00,4811.75,4812.25,4811.75,4812.0,4812.0,205
2023-12-26 01:05:00-05:00,4812.0,4812.25,4811.75,4811.75,4811.75,145
2023-12-26 01:10:00-05:00,4811.75,4812.25,4811.5,4812.0,4812.0,248
2023-12-26 01:15:00-05:00,4812.0,4812.0,4811.5,4811.5,4811.5,108
2023-12-26 01:20:00-05:00,4811.75,4811.75,4810.75,4811.25,4811.25,504
2023-12-26 01:25:00-05:00,4811.25,4811.75,4811.25,4811.25,4811.25,220
2023-12-26 01:30:00-05:00,4811.25,4812.0,4811.25,4812.0,4812.0,273
2023-12-26 01:35:00-05:00,4811.75,4812.5,4811.75,4812.25,4812.25,232
2023-12-26 01:40:00-05:00,4812.25,4812.25,4812.0,4812.0,4812.0,54
2023-12-26 01:45:00-05:00,4812.0,4812.25,4811.5,4811.75,4811.75,266
2023-12-26 01:50:00-05:00,4811.75,4812.25,4811.75,4812.0,4812.0,160
2023-12-26 01:55:00-05:00,4812.0,4812.0,4811.5,4811.75,4811.75,154
2023-12-26 02:00:00-05:00,4811.75,4812.75,4811.75,4812.75,4812.75,367
2023-12-26 02:05:00-05:00,4812.75,4813.5,4812.5,4813.25,4813.25,422
2023-12-26 02:10:00-05:00,4813.25,4813.5,4813.0,4813.25,4813.25,235
